一、社会医学相关概念,"社会医学：是研究社会因素与健康及疾病之间相互联系及其规律的一门科学，
是医学与社会学之间相互渗透而发展起来的，它综合了生物医学与社会学的研究方法与成果，是社会学和生物医学之间的交叉或边缘学科
社会经济地位：是健康的决定性因素，西方学者将收入、教育、职业三个概念综合在一起，共同形成社会经济地位这一指标，其可以综合全面地反映一个人在社会中所处的阶层
社会卫生策略：是指根据健康状况评价和健康影响因素的研究，找出需要优先解决的健康问题，通过政治、法律、规章制度等渠道，通过卫生立法，卫生规划和社区卫生服务等手段，改善社会经济状况，从而从根本上解决影响人群健康问题的原因，实现医学保护人群健康，提高人群健康水平的目标
社会突破：社会突破是指政府承担卫生保健责任，动员社区群众参与，健全基层保健网，发展经济，制定法律和开展社会大卫生措施，才能解决疾病问题，具有决定性作用
社会处方：针对社会卫生状况和影响人群健康的因素，提出改善社会卫
生状况、提高人群健康水平的社会卫生策略和措施"
二、社会医学的任务,"评价健康状况：包括个体的健康状况和人群的健康状况。健康状况评价且的是发现某一个区域范围内个体和群体当中所存在的主要健康问题
开发和应用评价理论和方法：对个体和群体健康的认识是在不断发展的，个体和群体健康的评价理论和方法也在不断发展和更加完善。开发和应用新的评价理论和方法，有助于更加全面具体地掌握当地居民的健康状况
探索社会因素与人群健康之间的关系：社会因素包括社会制度、社会经济、社会文化、社会心理等方面，全面了解一个地区的政治、经济、文化、风俗、伦理和生活方式，尤其是政策变化和经济发展对于一个区域内健康纵向变化的影响
为制定有效的社会卫生策略提供依据：包括有关健康状况和影响健康的社会因素等方面的信息
多学科、多层次合作：通过社区卫生服务实现保障人群健康，提高人群生活质量和人群健康水平的目的"
三、社会医学的作用,"了解某个大到国家，小到社区的区域中居民的健康状况，为政府制定社会卫生策略，制定区域卫生规划等提供依据
改变生物医学模式对健康观念的影响，倡导积极的健康观，摒弃“无病即健康”的健康观念；促进居民健康，提高居民生活质量
开展社区卫生服务，为不断扩展社区卫生服务内涵，提高社区卫生服务的管理水平和服务能力提供决策依据"
四、社会医学的研究对象和研究内容,"研究社会卫生状况和人群健康状况，即进行社会诊断：通过统计学、流行病学、社会学的方法，研究人群的健康状况；应用科学指标对人群健康状况作出评价，找出需要优先解决的问题。常用的科学指标有：
生物指标如疾病指标
心理指标如性格心理测量
社会指标有社会支持、社会网络
综合指标如生命质量指标(PQLI)
探讨影响人群健康的因素，特别是社会因素：研究各种因素（包括社会经济地位、社会心理因素、宗教文化等）对健康和疾病的影响，对发现的社会卫生问题进行社会病因学分析，为制定社会卫生政策提供依据
社会经济地位对健康的影响：社会经济地位是健康的决定性因素，西方学者将教育、收入、职业三个概念综合在一起，共同形成社会经济地位这一指标，其可以综合全面地反映一个人在社会中所处的阶层
收入决定了消费能力、营养、住房和医疗保健状况
职业决定了社会地位、责任感、体力活动和与工作相关的健康风险
教育决定了获取积极社会、心理和经济资源的能力。良好健康状况的最重要决定因素是受教育程度，受教育程度高的人总体上更了解健康生活方式的优点和预防保健的重要性
社会心理因素对健康的影响：社会因素对某一特定疾病发生和发展的影响，不仅局限于年龄，性别，种族等因素，人类精神和躯体之间的相互作用也是影响健康的关键因素，其典型例子如过劳死
宗教文化对健康的影响：许多研究提示，宗教态度和宗教行为可能对许多与健康相关的行为产生正面影响，这包括禁止吸烟和饮酒，禁止多性伴性关系等
研究社会卫生策略：即根据健康状况评价和健康影响因素的研究，找出需要优先解决的健康问题，通过政治、法律、规章制度等渠道，通过卫生立法，卫生规划和社区卫生服务等手段，改善社会经济状况，从而从根本上解决影响人群健康问题的原因，实现医学保护人群健康，提高人群健康水平的目标。社会卫生策略是建立在对整个社会个人健康和人群健康评价的基础之上的。其在宏观上强调立法和执法监督，从微观操作上重视基层的保健措施。最根本目的在于让人们（社会领导、决策者）明白健康不仅是个人问题，是一个社会应当保障的基本人权、是社会责任"
五、传统健康观和积极健康观的内涵,"积极健康观的内涵：健康不仅是疾病或体弱的匿迹，而是身心健康和社会幸福的完好状态。它包括三个层次的健康：躯体健康、心理健康和社会适应能力完好。它包含三个层次的健康：
躯体健康：指躯体的结构完好和功能正常
心理健康：又称精神健康，指人的心理处于完好状态，包括正确认识自我、正确认识环境和及时适应环境
正确认识自我：指既不高估、也不低估自己
正确认识环境：指个人要对过去的、现在的以及将来要发生的一切事件和事物有客观的和一分为二的认识
及时适应环境：指使自己的心理与环境相协调和平衡的过程，要求人们主动地控制自我、改造环境与适应环境
社会适应能力：
每个人的能力应在社会系统内得到充分的发挥
作为健康的个体应有效地扮演与其身份相适应的角色
每个人的行为与社会规范相一致
传统（消极）健康观的内涵：消极健康观认为，疾病与健康是互相排斥的，健康等于无病，无病等于健康。是以传染病的发生、变化和转归为依据，以单因单果为表现形式的疾病观
大卫生观：卫生事业本质是一种“人人需要，共同受益”的社会公益事业，实现健康不仅仅是医疗卫生部门的工作，还需要全社会、各部门、各领域的积极行动和协同推进，这被称为大卫生观或大健康观
高危人群：是指容易受疾病侵扰的人群，包括处于高危险环境的人群、对环境有高危反应的人群，以及有高危行为的人群。此外健康弱势人群也容易成为高危人群
亚健康状态：人的机体虽然无明显的疾病，但呈现出活力降低，适应力呈不同程度减退的一种生理状态，是由机体各系统的生理功能和代谢过程低下所导致，是介于健康与疾病之间的一种生理功能降低的状态，亦称“第三状态”或“灰色状态”
亚临床疾病：也称无症状疾病，即无临床症状、体征，但存在生理性代偿或病理性改变的临床检测证据。如无症状性缺血性心脏病，可以无症状，但有心电图改变"
六、社会医学的特色理论和创新观点,"卫生事业与社会协调发展：
卫生事业是以社会发展为基础，其规模与速度直接受社会发展的制约
卫生事业发展是社会发展的组成，为社会发展提供保障
健康与社会经济发展的双向作用：在强调社会经济发展对人群健康水平提高的基础性作用的同时，也应该认识到人群健康水平的提高对社会经济发展的促进作用
生理、心理、社会健康观：
生物角度：检查器官功能和各项指标是否正常
心理、精神角度：有无自控能力，能否正确对待外界的影响，是否能够处理心理平衡的状态
社会学角度：个体的社会适应性、良好的工作和生活习惯、人际关系和应对各种突发事件的能力
关注高危人群和高危因素：
高危险性：主要包括高危人群、高危环境和高危因素
高危人群：是指容易受疾病侵扰的人群，包括处于高危险环境的人群、对环境有高危反应的人群，以及有高危行为的人群；此外，健康弱势人群也容易成为高危人群
高危因素：是指对健康构成威胁的因素，如吸烟、酗酒、吸毒等不良行为
高危环境：包括存在危险因素的自然、社会和心理环境
疾病防治中社会因素的主导作用：
现在疾病的流行模式：多因单果，单因多果，多因多果
联合国儿童基金会提出需要实现两个突破：技术突破、社会突破
全社会参与的大卫生观：把人民健康放在优先发展的战略地位，加快推进健康中国建设，努力全方位、全周期保障人民健康。卫生事业本质上是一种“人人需要、共同受益”的社会公益事业，实现健康不仅仅是医疗卫生部门的工作，需要全社会、各部门、各领域的积极行动和协同推进，这被称为大卫生观或大健康观"
七、社会医学的创立和发展：,"社会医学的萌芽时期
古代“整体的人”的思想：希波克拉底强调人的生活环境与健康的关系要求医生了解病人的生活环境和生活方式
18世纪的产业革命：马尔萨斯提出人口过剩与贫困之间的关系；空想社会主义者欧文提出限制童工劳动时间的建议
社会医学的创立时期：
法国医生盖林认为应当将医学监督、公共卫生和法医学统称为社会医学，这是第一次提出社会医学概念。将社会医学分为四个部分：社会生理学、社会病理学、社会卫生学、社会治疗学
魏尔啸提出健康关系整个社会的发展，社会经济条件对健康有重要影响。德国医学家进行医学改革解决工业化带来一系列问题，这是社会医学创立的标志
英国宪章运动，任命的一个卫生局长，第一次开设公共卫生课
社会医学的发展时期：格罗蒂扬首次提出健康疾病与社会的相互关系，他认为社会状况有可能：
产生或有利于感染疾病的因素
直接引起疾病
传播病因
影响病程
疾病反过来可以影响社会状况
第二章 医学模式与健康观"
一、医学模式的相关概念,"模式：在科学研究中是指研究自然现象或社会现象的理论图式或解释方式，也可以指一种思想体系或思维方式。可以理解为人们认识和解决问题的思想和行为方式，它包括认识和实践操作两个环节
医学模式：是在医学理论发展和医学实践活动过程中形成的，它实质上是一
种医学观，是对医学的本质，医学发展的规律和方向，医学发展的基本思路、方法，医学发展应该抓住哪些根本问题，医学实践操作的主攻方向是什么等方面，做出的高度理论概括。医学模式是人类获取健康和防治疾病的经验总结，是人们对客观存在的事实的主观反映
生态学模式：生物医学模式下，健康就是要维持宿主、环境和病原体三者之间的动态平衡，这种保持平衡的观念，称为生态学模式"
二、医学模式的理论基础,"医学模式是医学实践的总结
医学模式是指导医学实践的自然观和方法论：不同的医学模式会对医学理论研究和实践操作提供不同思路
医学模式的动态性：医学模式的转变是与生产力发展的水平、生产关系的性质、政治和文化背景、科学技术发展水平以及哲学思想等相关联。实质上就是从现代观念上、现代思维方式上、现代健康需求去把握医学的时代特征，指导人们全方位把握住医学的发展方向，解决现代社会面临的各种医疗保健问题"
三、医学模式转变的各个阶段,"神灵主义医学模式：是指先民们认为人类的生命与健康是上帝神灵所赐，疾病和灾祸是天谴神罚，其主导思想是驱除瘟神疫鬼
自然哲学医学模式：是指把健康、疾病与人类生活的自然环境、社会环境联系起来观察和思考的朴素、辩证、整体的医学观念。人们开始用自然原因解释疾病的发生，把哲学思想与医疗实践直接联系起来
机械论医学模式：是基于机械唯物主义观点，以机械运动来解释一切生命现象的医学观和方法论，否定了唯心主义的医学观，把医学引入实验医学时代，对医学进步发挥了重要作用。机械论解释生命活动是机械运动，保护健康就是维护机器，忽视了人类机体的生物复杂性及社会复杂性，产生了对人体观察的片面性和机械性
生物医学模式：是指从生物学的角度认识健康与疾病，反映病因、宿主和自然环境三者内在联系的一种医学观和方法论
生物-心理-社会医学模式：指从生理、心理和社会等方面来观察、分析、思考，以及处理健康和疾病相关问题的医学观和方法论。包括环境健康医学模式、综合健康医学模式、生物-心理-社会医学模式"
